imagen_num,hog_vector_shape,momentos_hu,estadisticos_primer_orden,estadisticos_segundo_orden,lineas_hough_count,circulos_hough_data,sift_keypoints_count,sift_descriptors_shape,orb_keypoints_count,orb_descriptors_shape,kaze_keypoints_count,kaze_descriptors_shape,akaze_keypoints_count,akaze_descriptors_shape
0,"(740880,)","[0.00077514, 1.2209e-07, 3.056e-14, 1.9425e-15, -1.495e-29, -6.7867e-19, 7.1907e-31]","{'media': np.float64(232.3478027654164), 'varianza': np.float64(1849.9774319966994), 'desviacion_estandar': np.float64(43.01136398670355), 'entropia': np.float32(-63950660.0)}","{'contraste': np.float64(728.7082535885168), 'homogeneidad': np.float64(0.8108283434595768), 'disimilitud': np.float64(8.426196172248805), 'energia': np.float64(0.6962585249172274), 'correlacion': np.float64(0.8035468677665374), 'media_glcm': np.float64(1.52587890625e-05), 'desviacion_glcm': np.float64(0.0027197170590914834), 'entropia_glcm': np.float64(2.188834352194175)}",0,None,213,"(213, 128)",394,"(394, 32)",422,"(422, 64)",163,"(163, 61)"
1,"(33415200,)","[0.00082551, 3.3546e-08, 2.6463e-12, 6.4179e-12, 2.6638e-24, 7.8593e-16, -2.6315e-23]","{'media': np.float64(188.7828898543113), 'varianza': np.float64(4347.74370540468), 'desviacion_estandar': np.float64(65.93742264757306), 'entropia': np.float32(-704462460.0)}","{'contraste': np.float64(271.46115589092784), 'homogeneidad': np.float64(0.6415494315278913), 'disimilitud': np.float64(5.252498142113989), 'energia': np.float64(0.28637233477936763), 'correlacion': np.float64(0.9688139664442099), 'media_glcm': np.float64(1.5258789062499998e-05), 'desviacion_glcm': np.float64(0.0011185378594497897), 'entropia_glcm': np.float64(5.268423310591577)}",5938,"[(np.int64(528), np.int64(724), np.int64(58)), (np.int64(530), np.int64(702), np.int64(57))]",2338,"(2338, 128)",500,"(500, 32)",3400,"(3400, 64)",2696,"(2696, 61)"
2,"(1693440,)","[0.00075436, 4.6903e-08, 7.7455e-15, 2.7347e-14, 7.411e-29, 2.0036e-18, 3.9105e-28]","{'media': np.float64(241.4797237812259), 'varianza': np.float64(3098.6623213499165), 'desviacion_estandar': np.float64(55.66562962322367), 'entropia': np.float32(-97201240.0)}","{'contraste': np.float64(148.5817865669377), 'homogeneidad': np.float64(0.9749850402641013), 'disimilitud': np.float64(1.5387991112705801), 'energia': np.float64(0.9344847115283769), 'correlacion': np.float64(0.9760971595982798), 'media_glcm': np.float64(1.5258789062499995e-05), 'desviacion_glcm': np.float64(0.0036502990125509495), 'entropia_glcm': np.float64(0.44070257396124507)}",0,None,20,"(20, 128)",266,"(266, 32)",113,"(113, 64)",81,"(81, 61)"
3,"(1031940,)","[0.0010433, 1.6827e-08, 1.7325e-13, 4.8487e-13, 8.2574e-26, 4.2069e-17, -1.1371e-25]","{'media': np.float64(189.6137329931973), 'varianza': np.float64(9982.672400304098), 'desviacion_estandar': np.float64(99.91332443825547), 'entropia': np.float32(-53326044.0)}","{'contraste': np.float64(472.0956651718984), 'homogeneidad': np.float64(0.9587836171389252), 'disimilitud': np.float64(3.4426649583600266), 'energia': np.float64(0.7000900643144835), 'correlacion': np.float64(0.9764145090565964), 'media_glcm': np.float64(1.5258789062499998e-05), 'desviacion_glcm': np.float64(0.00273468424412796), 'entropia_glcm': np.float64(1.1173687651325532)}",2,None,46,"(46, 128)",116,"(116, 32)",102,"(102, 64)",52,"(52, 61)"
4,"(1031940,)","[0.00076171, 8.5692e-08, 5.9109e-11, 7.1661e-12, 1.4652e-22, 2.0658e-15, -1.6888e-23]","{'media': np.float64(107.2479365079365), 'varianza': np.float64(4091.419083043588), 'desviacion_estandar': np.float64(63.96420157434616), 'entropia': np.float32(-26474354.0)}","{'contraste': np.float64(62.66543765943877), 'homogeneidad': np.float64(0.7119780193872776), 'disimilitud': np.float64(1.652004942602041), 'energia': np.float64(0.09141797328572687), 'correlacion': np.float64(0.9923429768767914), 'media_glcm': np.float64(1.52587890625e-05), 'desviacion_glcm': np.float64(0.00035677530851689333), 'entropia_glcm': np.float64(5.77395872340934)}",0,None,2,"(2, 128)",25,"(25, 32)",9,"(9, 64)",4,"(4, 61)"
5,"(1031940,)","[0.00096165, 4.3856e-10, 1.3428e-13, 3.7849e-13, -7.8294e-26, -7.6073e-18, 3.3927e-26]","{'media': np.float64(193.96653827160495), 'varianza': np.float64(5537.9861198189055), 'desviacion_estandar': np.float64(74.4176465619473), 'entropia': np.float32(-52685210.0)}","{'contraste': np.float64(996.6394841269839), 'homogeneidad': np.float64(0.5035208513085164), 'disimilitud': np.float64(14.061190476190475), 'energia': np.float64(0.4313568548445014), 'correlacion': np.float64(0.9102508749071716), 'media_glcm': np.float64(1.5258789062500003e-05), 'desviacion_glcm': np.float64(0.0016849186231043124), 'entropia_glcm': np.float64(5.966063607656807)}",0,None,309,"(309, 128)",429,"(429, 32)",393,"(393, 64)",305,"(305, 61)"
6,"(34700400,)","[0.0016572, 3.0923e-07, 7.9019e-11, 6.4223e-11, 2.0076e-21, -1.2266e-14, -4.1111e-21]","{'media': np.float64(128.73220893352715), 'varianza': np.float64(2003.254655725873), 'desviacion_estandar': np.float64(44.757732915395444), 'entropia': np.float32(-459957280.0)}","{'contraste': np.float64(223.14969708248043), 'homogeneidad': np.float64(0.1036680424661422), 'disimilitud': np.float64(10.93420727966972), 'energia': np.float64(0.012156552764479264), 'correlacion': np.float64(0.9443167166500569), 'media_glcm': np.float64(1.52587890625e-05), 'desviacion_glcm': np.float64(4.496821421978419e-05), 'entropia_glcm': np.float64(9.153509866399748)}",28413,"[(np.int64(136), np.int64(344), np.int64(78)), (np.int64(144), np.int64(374), np.int64(76)), (np.int64(218), np.int64(364), np.int64(78)), (np.int64(118), np.int64(156), np.int64(76)), (np.int64(122), np.int64(398), np.int64(74)), (np.int64(140), np.int64(262), np.int64(77)), (np.int64(116), np.int64(310), np.int64(75)), (np.int64(126), np.int64(460), np.int64(75)), (np.int64(550), np.int64(128), np.int64(79)), (np.int64(100), np.int64(120), np.int64(72)), (np.int64(122), np.int64(362), np.int64(70)), (np.int64(102), np.int64(400), np.int64(62)), (np.int64(250), np.int64(366), np.int64(64)), (np.int64(146), np.int64(434), np.int64(66)), (np.int64(76), np.int64(298), np.int64(76)), (np.int64(110), np.int64(258), np.int64(65)), (np.int64(182), np.int64(262), np.int64(79)), (np.int64(216), np.int64(388), np.int64(63)), (np.int64(120), np.int64(122), np.int64(71)), (np.int64(262), np.int64(344), np.int64(61)), (np.int64(108), np.int64(288), np.int64(64)), (np.int64(148), np.int64(476), np.int64(66)), (np.int64(94), np.int64(230), np.int64(62)), (np.int64(132), np.int64(206), np.int64(61)), (np.int64(318), np.int64(532), np.int64(67)), (np.int64(116), np.int64(418), np.int64(55)), (np.int64(158), np.int64(274), np.int64(62)), (np.int64(228), np.int64(436), np.int64(61)), (np.int64(276), np.int64(690), np.int64(58)), (np.int64(292), np.int64(864), np.int64(75)), (np.int64(124), np.int64(506), np.int64(64)), (np.int64(310), np.int64(664), np.int64(64)), (np.int64(360), np.int64(576), np.int64(62)), (np.int64(272), np.int64(768), np.int64(63)), (np.int64(144), np.int64(294), np.int64(56)), (np.int64(550), np.int64(178), np.int64(62)), (np.int64(224), np.int64(482), np.int64(56)), (np.int64(196), np.int64(376), np.int64(53)), (np.int64(242), np.int64(416), np.int64(53)), (np.int64(252), np.int64(706), np.int64(60)), (np.int64(168), np.int64(358), np.int64(53)), (np.int64(78), np.int64(412), np.int64(64)), (np.int64(106), np.int64(350), np.int64(54)), (np.int64(86), np.int64(388), np.int64(56)), (np.int64(666), np.int64(254), np.int64(61)), (np.int64(176), np.int64(410), np.int64(53)), (np.int64(218), np.int64(668), np.int64(62)), (np.int64(288), np.int64(394), np.int64(52)), (np.int64(228), np.int64(328), np.int64(51)), (np.int64(322), np.int64(386), np.int64(64)), (np.int64(94), np.int64(600), np.int64(63)), (np.int64(332), np.int64(598), np.int64(62)), (np.int64(278), np.int64(374), np.int64(52)), (np.int64(228), np.int64(544), np.int64(60)), (np.int64(280), np.int64(434), np.int64(53)), (np.int64(624), np.int64(260), np.int64(53)), (np.int64(440), np.int64(664), np.int64(55)), (np.int64(122), np.int64(228), np.int64(52)), (np.int64(292), np.int64(728), np.int64(54)), (np.int64(518), np.int64(130), np.int64(53)), (np.int64(170), np.int64(310), np.int64(52)), (np.int64(140), np.int64(184), np.int64(51)), (np.int64(534), np.int64(106), np.int64(53)), (np.int64(632), np.int64(310), np.int64(53)), (np.int64(462), np.int64(758), np.int64(61)), (np.int64(442), np.int64(686), np.int64(52)), (np.int64(104), np.int64(686), np.int64(52)), (np.int64(394), np.int64(640), np.int64(52)), (np.int64(52), np.int64(210), np.int64(52)), (np.int64(56), np.int64(162), np.int64(53)), (np.int64(378), np.int64(276), np.int64(52)), (np.int64(454), np.int64(716), np.int64(52)), (np.int64(108), np.int64(614), np.int64(51))]",14998,"(14998, 128)",500,"(500, 32)",2699,"(2699, 64)",2599,"(2599, 61)"
7,"(22014720,)","[0.0017736, 6.8367e-07, 8.9298e-10, 1.2237e-09, 9.8622e-19, 8.058e-13, -8.1467e-19]","{'media': np.float64(124.37085907256404), 'varianza': np.float64(7110.567664932034), 'desviacion_estandar': np.float64(84.32418197013259), 'entropia': np.float32(-306236700.0)}","{'contraste': np.float64(337.49426140911083), 'homogeneidad': np.float64(0.2773197478324203), 'disimilitud': np.float64(9.724473378053913), 'energia': np.float64(0.08337668400047653), 'correlacion': np.float64(0.9762623598746892), 'media_glcm': np.float64(1.5258789062499998e-05), 'desviacion_glcm': np.float64(0.00032533253359220873), 'entropia_glcm': np.float64(8.661976648250434)}",17295,"[(np.int64(274), np.int64(434), np.int64(79)), (np.int64(278), np.int64(554), np.int64(61)), (np.int64(496), np.int64(586), np.int64(62)), (np.int64(284), np.int64(534), np.int64(53))]",3121,"(3121, 128)",500,"(500, 32)",2357,"(2357, 64)",1903,"(1903, 61)"
8,"(12579840,)","[0.00088596, 6.13e-08, 2.9672e-13, 1.9377e-12, 2.2253e-26, 9.1343e-17, -1.4691e-24]","{'media': np.float64(190.5816123619259), 'varianza': np.float64(3821.0342397447735), 'desviacion_estandar': np.float64(61.814514798263794), 'entropia': np.float32(-307278000.0)}","{'contraste': np.float64(188.17486593843097), 'homogeneidad': np.float64(0.4642320837239314), 'disimilitud': np.float64(3.925981463091692), 'energia': np.float64(0.09536312461272269), 'correlacion': np.float64(0.9749479875433537), 'media_glcm': np.float64(1.52587890625e-05), 'desviacion_glcm': np.float64(0.00037219956020468985), 'entropia_glcm': np.float64(5.927769951587591)}",15030,None,447,"(447, 128)",494,"(494, 32)",397,"(397, 64)",295,"(295, 61)"
9,"(32130000,)","[0.00079194, 2.7624e-08, 8.7456e-14, 1.4196e-15, -3.1289e-31, -2.2347e-19, -1.5815e-29]","{'media': np.float64(195.79341475661624), 'varianza': np.float64(2170.747538451677), 'desviacion_estandar': np.float64(46.591281785884334), 'entropia': np.float32(-703769100.0)}","{'contraste': np.float64(33.43482993197279), 'homogeneidad': np.float64(0.6789355633179277), 'disimilitud': np.float64(1.3409790002957704), 'energia': np.float64(0.2061957695223476), 'correlacion': np.float64(0.9922928728257598), 'media_glcm': np.float64(1.52587890625e-05), 'desviacion_glcm': np.float64(0.0008053076776146877), 'entropia_glcm': np.float64(4.54300100059063)}",24522,None,152,"(152, 128)",232,"(232, 32)",81,"(81, 64)",141,"(141, 61)"
